Date,Store,Product_Category,Units_Sold,Price,Competitor_Price,Holiday_Flag,CPI,Campaign_Flag,Year,Month,Week,DayOfWeek,IsWeekend,Price_Diff,Discount_Flag
1/3/2023,Abuja,Fitness Gear,12,102522,97314,0,101.93,0,2024,3,13,6,1,5208,0
1/4/2023,Lagos,Supplements,6,122262,122262,0,100.85,0,2024,1,3,6,1,0,0
1/5/2023,Port Harcourt,Wellness Drinks,39,60858,66262,0,100.07,0,2023,2,7,6,1,-5404,1
1/5/2023,Abuja,Fitness Gear,6,114548,116382,0,102.04,1,2024,5,20,6,1,-1834,1
1/5/2023,Port Harcourt,Supplements,4,65212,52892,0,104.48,0,2023,9,37,6,1,12320,0
1/5/2023,Lagos,Wellness Drinks,9,54124,58786,0,101.04,0,2024,3,10,6,1,-4662,1
1/5/2023,Port Harcourt,Fitness Gear,5,116634,107478,0,104.92,0,2023,8,33,6,1,9156,0
1/8/2023,Lagos,Fitness Gear,10,127554,131796,0,102.11,0,2023,6,23,6,1,-4242,1
1/9/2023,Lagos,Wellness Drinks,8,79702,71736,1,106.41,0,2023,12,52,6,1,7966,0
1/10/2023,Lagos,Supplements,23,87038,85834,0,103.59,1,2024,8,34,6,1,1204,0
1/10/2023,Abuja,Yoga Mats,4,29484,35560,1,105.06,1,2024,12,50,6,1,-6076,1
1/11/2023,Lagos,Yoga Mats,37,37296,44506,0,101.27,1,2024,5,20,6,1,-7210,1
1/11/2023,Abuja,Yoga Mats,7,43932,43260,1,107.52,0,2023,12,48,6,1,672,0
1/11/2023,Lagos,Smart Scales,6,123970,124474,0,101.94,0,2023,2,6,6,1,-504,1
1/13/2023,Abuja,Smart Scales,15,139496,124362,0,102.61,0,2023,6,22,6,1,15134,0
1/13/2023,Abuja,Wellness Drinks,35,49616,62020,0,102.69,1,2024,5,18,6,1,-12404,1
1/13/2023,Lagos,Wellness Drinks,32,96474,94542,0,102.56,1,2023,7,28,6,1,1932,0
1/13/2023,Port Harcourt,Smart Scales,14,25872,31178,0,103.13,0,2023,8,31,6,1,-5306,1
1/14/2023,Lagos,Smart Scales,35,28364,36918,0,100.29,0,2023,3,11,6,1,-8554,1
1/14/2023,Lagos,Fitness Gear,11,59206,59150,0,104.9,0,2024,8,33,6,1,56,0
1/16/2023,Lagos,Yoga Mats,10,74242,62104,0,104.84,0,2024,10,41,6,1,12138,0
1/16/2023,Port Harcourt,Wellness Drinks,17,93380,89082,0,102.43,1,2024,6,26,6,1,4298,0
1/16/2023,Lagos,Smart Scales,13,96152,101164,0,104.17,0,2024,9,36,6,1,-5012,1
